"© Statistisches Landesamt Baden-Württemberg";"Böblinger Straße 68";"70199 Stuttgart";"Telefon:";"+49 711 641-2833";"Telefax:";"+49 711 641-2440";"https://www.statistik-bw.de/";;;;
"Landesinformationssystem (LIS)";"Abruf aus der Struktur- und Regionaldatenbank (SRDB)";;;;

"BIBER-Nr.:";"01515020";;;;
"Web-Abruf der Tabellen:";"R= Kürzel der Regionaleinheit (Spalte 1) und AGS (Spalte 2) ohne »08«.";;;;
"Bsp. Regierungsbezirk Stuttgart:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=RB1";;;;
"Bsp. Aidlingen:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=GS115001";;;;

"Titel:";"Bevölkerung, Gemeindegebiet und Bevölkerungsdichte";;;;

"Stichtag:";"31.12.2015";"31.12.2016";"31.12.2017";"31.12.2018";
"Erstellungsdatum:";"20.10.2016";"09.01.2018";"Stand 29.03.2019";"Stand 22.07.2019";

"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=";;;;

"Bevölkerung:";"Ergebnisse der Bevölkerungsfortschreibung auf Basis Zensus 2011. Bei Städten und Gemeinden mit Landeserstaufnahmeeinrichtung für Flüchtlinge (LEA) kann es durch die hohe Zahl an Zu- und Fortzügen zu verfahrensbedingten Schwankungen in der amtlichen Bevölkerungsfortschreibung und der Ermittlung der amtlichen Einwohnerzahl kommen.";;;;
"Gemeindegebiet:";"Ohne die Flächen der gemeindefreien Gebiete Rheinau (Ortenaukreis) und Gutsbezirk Münsingen (Landkreis Reutlingen). Zum Berichtsjahr 2016 wurde die Flächenerhebung bundesweit auf die neue ALKIS-Nomenklatur umgestellt."
"Postleitzahl:";"Für jene Städte und Gemeinden, die über mehr als eine Postleitzahl verfügen, wurde diejenige übernommen, die dem Sitz (Hausanschrift) der Stadt-/Gemeindeverwaltung entspricht.";;;;

"Kürzel der Regionaleinheit";"Amtlicher Gemeindeschlüssel (AGS)";"Postleitzahl";"Regionalname";"Stichtag";"Bevölkerung insgesamt";"Gemeindegebiet ha";"Bevölkerungsdichte EW/km²"
"RV";"0833";"X";"Region Hochrhein-Bodensee";"31.12.2017";682527;275579;248
"RV";"0841";"X";"Region Neckar-Alb";"31.12.2017";699679;246454;284
"RV";"0842";"X";"Region Donau-Iller";"31.12.2017";518490;288676;180
"RV";"0843";"X";"Region Bodensee-Oberschwaben";"31.12.2017";628111;350112;179
"KR";"08111";"X";"Stadtkreis Stuttgart";"31.12.2017";632743;20735;3052
"KR";"08115";"X";"Landkreis Böblingen";"31.12.2017";389548;61776;631
"KR";"08116";"X";"Landkreis Esslingen";"31.12.2017";532447;64128;830
"KR";"08117";"X";"Landkreis Göppingen";"31.12.2017";256345;64234;399
"KR";"08118";"X";"Landkreis Ludwigsburg";"31.12.2017";542630;68677;790
"KR";"08119";"X";"Landkreis Rems-Murr-Kreis";"31.12.2017";424878;85808;495
"KR";"08121";"X";"Stadtkreis Heilbronn";"31.12.2017";125113;9989;1253
"KR";"08125";"X";"Landkreis Heilbronn";"31.12.2017";340772;109991;310
"KR";"08126";"X";"Landkreis Hohenlohekreis";"31.12.2017";111392;77676;143
"KR";"08127";"X";"Landkreis Schwäbisch Hall";"31.12.2017";194203;148407;131
"KR";"08128";"X";"Landkreis Main-Tauber-Kreis";"31.12.2017";132189;130413;101
"KR";"08135";"X";"Landkreis Heidenheim";"31.12.2017";132006;62714;210
"KR";"08136";"X";"Landkreis Ostalbkreis";"31.12.2017";312422;151139;207
"KR";"08211";"X";"Stadtkreis Baden-Baden";"31.12.2017";54718;14019;390
"KR";"08212";"X";"Stadtkreis Karlsruhe";"31.12.2017";311919;17342;1799
"KR";"08215";"X";"Landkreis Karlsruhe";"31.12.2017";442673;108528;408
"KR";"08216";"X";"Landkreis Rastatt";"31.12.2017";230216;73843;312
"KR";"08221";"X";"Stadtkreis Heidelberg";"31.12.2017";160601;10889;1475
"KR";"08222";"X";"Stadtkreis Mannheim";"31.12.2017";307997;14497;2125
"KR";"08225";"X";"Landkreis Neckar-Odenwald-Kreis";"31.12.2017";143376;112594;127
"KR";"08226";"X";"Landkreis Rhein-Neckar-Kreis";"31.12.2017";546745;106155;515
"KR";"08231";"X";"Stadtkreis Pforzheim";"31.12.2017";124289;9807;1267
"KR";"08235";"X";"Landkreis Calw";"31.12.2017";157424;79729;197
"KR";"08236";"X";"Landkreis Enzkreis";"31.12.2017";198369;57360;346
"KR";"08237";"X";"Landkreis Freudenstadt";"31.12.2017";117456;87039;135
"KR";"08311";"X";"Stadtkreis Freiburg im Breisgau";"31.12.2017";229636;15304;1501
"KR";"08315";"X";"Landkreis Breisgau-Hochschwarzwald";"31.12.2017";262405;137831;190
"KR";"08316";"X";"Landkreis Emmendingen";"31.12.2017";164712;67979;242
"KR";"08317";"X";"Landkreis Ortenaukreis";"31.12.2017";425932;185034;230
"KR";"08325";"X";"Landkreis Rottweil";"31.12.2017";138858;76942;180
"KR";"08326";"X";"Landkreis Schwarzwald-Baar-Kreis";"31.12.2017";211207;102533;206
"KR";"08327";"X";"Landkreis Tuttlingen";"31.12.2017";139397;73438;190
"KR";"08335";"X";"Landkreis Konstanz";"31.12.2017";284015;81798;347
"KR";"08336";"X";"Landkreis Lörrach";"31.12.2017";228314;80671;283
"KR";"08337";"X";"Landkreis Waldshut";"31.12.2017";170198;113110;150
"KR";"08415";"X";"Landkreis Reutlingen";"31.12.2017";285754;102785;278
"KR";"08416";"X";"Landkreis Tübingen";"31.12.2017";225755;51912;435
"KR";"08417";"X";"Landkreis Zollernalbkreis";"31.12.2017";188170;91758;205
"KR";"08421";"X";"Stadtkreis Ulm";"31.12.2017";125596;11868;1058
"KR";"08425";"X";"Landkreis Alb-Donau-Kreis";"31.12.2017";194629;135855;143
"KR";"08426";"X";"Landkreis Biberach";"31.12.2017";198265;140953;141
"KR";"08435";"X";"Landkreis Bodenseekreis";"31.12.2017";214655;66479;323
"KR";"08436";"X";"Landkreis Ravensburg";"31.12.2017";283264;163210;174
"KR";"08437";"X";"Landkreis Sigmaringen";"31.12.2017";130192;120423;108
"GS";"08111000";"70173";"Stuttgart, Landeshauptstadt";"31.12.2017";632743;20735;3052
"GS";"08115001";"71134";"Aidlingen";"31.12.2017";8976;2656;338
"GS";"08115002";"71155";"Altdorf";"31.12.2017";4647;1745;266
"GS";"08115003";"71032";"Böblingen, Stadt";"31.12.2017";50035;3904;1282
"GS";"08115004";"71149";"Bondorf";"31.12.2017";5925;1754;338
"GS";"08115010";"75392";"Deckenpfronn";"31.12.2017";3309;1141;290
"GS";"08115013";"71139";"Ehningen";"31.12.2017";9005;1781;506
"GS";"08115015";"71116";"Gärtringen";"31.12.2017";12204;2021;604
"GS";"08115016";"71126";"Gäufelden";"31.12.2017";9343;2007;465
"GS";"08115021";"71083";"Herrenberg, Stadt";"31.12.2017";31499;6570;479
"GS";"08115022";"71157";"Hildrizhausen";"31.12.2017";3617;1216;297
"GS";"08115024";"71088";"Holzgerlingen, Stadt";"31.12.2017";13018;1339;973
"GS";"08115028";"71229";"Leonberg, Stadt";"31.12.2017";48222;4873;990
"GS";"08115029";"71106";"Magstadt";"31.12.2017";9619;1912;503
"GS";"08115034";"71159";"Mötzingen";"31.12.2017";3671;815;451
"GS";"08115037";"71154";"Nufringen";"31.12.2017";5747;1004;572
"GS";"08115041";"71272";"Renningen, Stadt";"31.12.2017";18049;3115;579
"GS";"08115042";"71277";"Rutesheim, Stadt";"31.12.2017";10924;1622;674
"GS";"08115044";"71101";"Schönaich";"31.12.2017";10626;1415;751
"GS";"08115045";"71063";"Sindelfingen, Stadt";"31.12.2017";64599;5083;1271
"GS";"08115046";"71144";"Steinenbronn";"31.12.2017";6638;972;683
"GS";"08115048";"71111";"Waldenbuch, Stadt";"31.12.2017";8720;2270;384
"GS";"08115050";"71263";"Weil der Stadt, Stadt";"31.12.2017";19024;4317;441
"GS";"08115051";"71093";"Weil im Schönbuch";"31.12.2017";9969;2612;382
"GS";"08115052";"71287";"Weissach";"31.12.2017";7497;2219;338
"GS";"08115053";"71131";"Jettingen";"31.12.2017";7903;2111;374
"GS";"08115054";"71120";"Grafenau";"31.12.2017";6762;1304;518
"GS";"08116004";"73776";"Altbach";"31.12.2017";5990;334;1791
"GS";"08116005";"72655";"Altdorf";"31.12.2017";1685;324;519
"GS";"08116006";"72657";"Altenriet";"31.12.2017";1912;335;570
"GS";"08116007";"73666";"Baltmannsweiler";"31.12.2017";5734;1855;309
"GS";"08116008";"72658";"Bempflingen";"31.12.2017";3499;627;558
"GS";"08116011";"72660";"Beuren";"31.12.2017";3585;1169;307
"GS";"08116012";"73266";"Bissingen an der Teck";"31.12.2017";3470;1706;203
"GS";"08116014";"73779";"Deizisau";"31.12.2017";6918;517;1338
"GS";"08116015";"73770";"Denkendorf";"31.12.2017";11225;1305;860
"GS";"08116016";"73265";"Dettingen unter Teck";"31.12.2017";6132;1513;405
"GS";"08116018";"73268";"Erkenbrechtsweiler";"31.12.2017";2176;693;314
"GS";"08116019";"73728";"Esslingen am Neckar, Stadt";"31.12.2017";93004;4643;2003
"GS";"08116020";"72636";"Frickenhausen";"31.12.2017";9039;1135;797
"GS";"08116022";"72663";"Großbettlingen";"31.12.2017";4445;423;1051
"GS";"08116027";"73269";"Hochdorf";"31.12.2017";4833;775;624
"GS";"08116029";"73271";"Holzmaden";"31.12.2017";2264;310;731
"GS";"08116033";"73230";"Kirchheim unter Teck, Stadt";"31.12.2017";40446;4047;999
"GS";"08116035";"73257";"Köngen";"31.12.2017";9980;1252;797
"GS";"08116036";"72664";"Kohlberg";"31.12.2017";2320;438;529
"GS";"08116037";"73669";"Lichtenwald";"31.12.2017";2678;1080;248
"GS";"08116041";"72666";"Neckartailfingen";"31.12.2017";3763;823;457
"GS";"08116042";"72654";"Neckartenzlingen";"31.12.2017";6549;903;725
"GS";"08116043";"73272";"Neidlingen";"31.12.2017";1819;1263;144
"GS";"08116046";"72639";"Neuffen, Stadt";"31.12.2017";6343;1743;364
"GS";"08116047";"73765";"Neuhausen auf den Fildern";"31.12.2017";11779;1246;945
"GS";"08116048";"73274";"Notzingen";"31.12.2017";3676;770;477
"GS";"08116049";"72622";"Nürtingen, Stadt";"31.12.2017";41017;4688;875
"GS";"08116050";"72644";"Oberboihingen";"31.12.2017";5601;631;888
"GS";"08116053";"73275";"Ohmden";"31.12.2017";1713;555;308
"GS";"08116054";"73277";"Owen, Stadt";"31.12.2017";3434;970;354
"GS";"08116056";"73207";"Plochingen, Stadt";"31.12.2017";14213;1064;1336
"GS";"08116058";"73262";"Reichenbach an der Fils";"31.12.2017";8436;743;1135
"GS";"08116063";"72667";"Schlaitdorf";"31.12.2017";1876;731;257
"GS";"08116068";"72669";"Unterensingen";"31.12.2017";4916;756;651
"GS";"08116070";"73235";"Weilheim an der Teck, Stadt";"31.12.2017";10305;2651;389
"GS";"08116071";"73240";"Wendlingen am Neckar, Stadt";"31.12.2017";16247;1215;1337
"GS";"08116072";"73249";"Wernau (Neckar), Stadt";"31.12.2017";12388;1089;1137
"GS";"08116073";"72649";"Wolfschlugen";"31.12.2017";6368;711;896
"GS";"08116076";"73773";"Aichwald";"31.12.2017";7537;1467;514
"GS";"08116077";"70794";"Filderstadt, Stadt";"31.12.2017";45807;3855;1188
"GS";"08116078";"70771";"Leinfelden-Echterdingen, Stadt";"31.12.2017";39826;2989;1332
"GS";"08116079";"73252";"Lenningen";"31.12.2017";8249;4143;199
"GS";"08116080";"73760";"Ostfildern, Stadt";"31.12.2017";39205;2281;1719
"GS";"08116081";"72631";"Aichtal, Stadt";"31.12.2017";10045;2360;426
"GS";"08117001";"73099";"Adelberg";"31.12.2017";1983;949;209
"GS";"08117002";"73101";"Aichelberg";"31.12.2017";1339;401;334
"GS";"08117003";"73095";"Albershausen";"31.12.2017";4313;650;663
"GS";"08117006";"73342";"Bad Ditzenbach";"31.12.2017";3725;2544;146
"GS";"08117007";"73337";"Bad Überkingen";"31.12.2017";3850;2404;160
"GS";"08117009";"73102";"Birenbach";"31.12.2017";1919;250;768
"GS";"08117010";"89558";"Böhmenkirch";"31.12.2017";5519;5109;108
"GS";"08117011";"73104";"Börtlingen";"31.12.2017";1699;826;206
"GS";"08117012";"73087";"Bad Boll";"31.12.2017";5163;1095;471
"GS";"08117014";"73326";"Deggingen";"31.12.2017";5340;2271;235
"GS";"08117015";"73072";"Donzdorf, Stadt";"31.12.2017";10822;3982;272
"GS";"08117016";"73345";"Drackenstein";"31.12.2017";419;568;74
"GS";"08117017";"73105";"Dürnau";"31.12.2017";2153;537;401
"GS";"08117018";"73061";"Ebersbach an der Fils, Stadt";"31.12.2017";15386;2626;586
"GS";"08117019";"73054";"Eislingen/Fils, Stadt";"31.12.2017";20795;1641;1267
"GS";"08117020";"73107";"Eschenbach";"31.12.2017";2202;480;459
"GS";"08117023";"73108";"Gammelshausen";"31.12.2017";1411;330;427
"GS";"08117024";"73312";"Geislingen an der Steige, Stadt";"31.12.2017";28021;7583;370
"GS";"08117025";"73333";"Gingen an der Fils";"31.12.2017";4485;1002;447
"GS";"08117026";"73033";"Göppingen, Stadt";"31.12.2017";57094;5921;964
"GS";"08117028";"73344";"Gruibingen";"31.12.2017";2208;2305;96
"GS";"08117029";"73110";"Hattenhofen";"31.12.2017";2977;764;390
"GS";"08117030";"73092";"Heiningen";"31.12.2017";5145;1245;413
"GS";"08117031";"73345";"Hohenstadt";"31.12.2017";760;1164;65
"GS";"08117033";"73329";"Kuchen";"31.12.2017";5607;895;627
"GS";"08117035";"73347";"Mühlhausen im Täle";"31.12.2017";1069;633;169
"GS";"08117037";"73113";"Ottenbach";"31.12.2017";2450;1190;206
"GS";"08117038";"73098";"Rechberghausen";"31.12.2017";5479;640;856
"GS";"08117042";"73084";"Salach";"31.12.2017";7951;831;957
"GS";"08117043";"73114";"Schlat";"31.12.2017";1687;968;174
"GS";"08117044";"73278";"Schlierbach";"31.12.2017";3941;1097;359
"GS";"08117049";"73079";"Süßen, Stadt";"31.12.2017";10250;1279;802
"GS";"08117051";"73066";"Uhingen, Stadt";"31.12.2017";14374;2479;580
"GS";"08117053";"73116";"Wäschenbeuren";"31.12.2017";3889;1295;300
"GS";"08117055";"73117";"Wangen";"31.12.2017";3143;968;325
"GS";"08117058";"73349";"Wiesensteig, Stadt";"31.12.2017";2053;2341;88
"GS";"08117060";"73119";"Zell unter Aichelberg";"31.12.2017";3138;639;491
"GS";"08117061";"73111";"Lauterstein, Stadt";"31.12.2017";2586;2331;111
"GS";"08118001";"71563";"Affalterbach";"31.12.2017";4501;1015;443
"GS";"08118003";"71679";"Asperg, Stadt";"31.12.2017";13529;580;2333
"GS";"08118006";"71726";"Benningen am Neckar";"31.12.2017";6483;487;1330
"GS";"08118007";"74354";"Besigheim, Stadt";"31.12.2017";12404;1683;737
"GS";"08118010";"74357";"Bönnigheim, Stadt";"31.12.2017";7868;2013;391
"GS";"08118011";"71254";"Ditzingen, Stadt";"31.12.2017";24942;3038;821
"GS";"08118012";"71735";"Eberdingen";"31.12.2017";6740;2621;257
"GS";"08118014";"71729";"Erdmannhausen";"31.12.2017";5004;870;575
"GS";"08118015";"74391";"Erligheim";"31.12.2017";2837;619;458
"GS";"08118016";"74392";"Freudental";"31.12.2017";2487;307;810
"GS";"08118018";"74376";"Gemmrigheim";"31.12.2017";4207;823;511
"GS";"08118019";"70839";"Gerlingen, Stadt";"31.12.2017";19815;1701;1165
"GS";"08118021";"71723";"Großbottwar, Stadt";"31.12.2017";8516;2551;334
"GS";"08118027";"71282";"Hemmingen";"31.12.2017";7920;1234;642
"GS";"08118028";"74394";"Hessigheim";"31.12.2017";2467;503;491
"GS";"08118040";"74366";"Kirchheim am Neckar";"31.12.2017";5890;852;691
"GS";"08118046";"70806";"Kornwestheim, Stadt";"31.12.2017";33766;1465;2305
"GS";"08118047";"74369";"Löchgau";"31.12.2017";5667;1095;518
"GS";"08118048";"71638";"Ludwigsburg, Stadt";"31.12.2017";93593;4334;2159
"GS";"08118049";"71672";"Marbach am Neckar, Stadt";"31.12.2017";15850;1806;878
"GS";"08118050";"71706";"Markgröningen, Stadt";"31.12.2017";14804;2815;526
"GS";"08118051";"71696";"Möglingen";"31.12.2017";11395;993;1148
"GS";"08118053";"74395";"Mundelsheim";"31.12.2017";3313;1020;325
"GS";"08118054";"71711";"Murr";"31.12.2017";6459;779;829
"GS";"08118059";"71739";"Oberriexingen, Stadt";"31.12.2017";3280;816;402
"GS";"08118060";"71720";"Oberstenfeld";"31.12.2017";8035;2110;381
"GS";"08118063";"74385";"Pleidelsheim";"31.12.2017";6422;1018;631
"GS";"08118067";"71701";"Schwieberdingen";"31.12.2017";11406;1487;767
"GS";"08118068";"74372";"Sersheim";"31.12.2017";5585;1148;486
"GS";"08118070";"71711";"Steinheim an der Murr, Stadt";"31.12.2017";12190;2318;526
"GS";"08118071";"71732";"Tamm";"31.12.2017";12691;878;1446
"GS";"08118073";"71665";"Vaihingen an der Enz, Stadt";"31.12.2017";29308;7340;399
"GS";"08118074";"74399";"Walheim";"31.12.2017";3264;613;532
"GS";"08118076";"74343";"Sachsenheim, Stadt";"31.12.2017";18594;5792;321
"GS";"08118077";"74379";"Ingersheim";"31.12.2017";6303;1155;546
"GS";"08118078";"71691";"Freiberg am Neckar, Stadt";"31.12.2017";16024;1314;1220
"GS";"08118079";"74321";"Bietigheim-Bissingen, Stadt";"31.12.2017";43266;3129;1383
"GS";"08118080";"70825";"Korntal-Münchingen, Stadt";"31.12.2017";19631;2071;948
"GS";"08118081";"71686";"Remseck am Neckar, Stadt";"31.12.2017";26174;2282;1147
"GS";"08119001";"73553";"Alfdorf";"31.12.2017";7169;6852;105
"GS";"08119003";"71573";"Allmersbach im Tal";"31.12.2017";4792;796;602
"GS";"08119004";"71566";"Althütte";"31.12.2017";4180;1816;230
"GS";"08119006";"71549";"Auenwald";"31.12.2017";6811;1975;345
"GS";"08119008";"71522";"Backnang, Stadt";"31.12.2017";36893;3938;937
"GS";"08119018";"71576";"Burgstetten";"31.12.2017";3642;1029;354
"GS";"08119020";"70734";"Fellbach, Stadt";"31.12.2017";45783;2771;1653
"GS";"08119024";"71577";"Großerlach";"31.12.2017";2446;2715;90
"GS";"08119037";"73667";"Kaisersbach";"31.12.2017";2494;2794;89
"GS";"08119038";"71737";"Kirchberg an der Murr";"31.12.2017";3904;1321;295
"GS";"08119041";"71404";"Korb";"31.12.2017";10719;845;1268
"GS";"08119042";"71397";"Leutenbach";"31.12.2017";11346;1473;770
"GS";"08119044";"71540";"Murrhardt, Stadt";"31.12.2017";14006;7115;197
"GS";"08119053";"71570";"Oppenweiler";"31.12.2017";4254;1980;215
"GS";"08119055";"73655";"Plüderhausen";"31.12.2017";9464;2612;362
"GS";"08119061";"73635";"Rudersberg";"31.12.2017";11276;3937;286
"GS";"08119067";"73614";"Schorndorf, Stadt";"31.12.2017";39601;5683;697
"GS";"08119068";"71409";"Schwaikheim";"31.12.2017";9465;922;1027
"GS";"08119069";"71579";"Spiegelberg";"31.12.2017";2136;2822;76
"GS";"08119075";"71560";"Sulzbach an der Murr";"31.12.2017";5285;4012;132
"GS";"08119076";"73660";"Urbach";"31.12.2017";8922;2077;430
"GS";"08119079";"71332";"Waiblingen, Stadt";"31.12.2017";55123;4275;1289
"GS";"08119083";"71554";"Weissach im Tal";"31.12.2017";7259;1413;514
"GS";"08119084";"73642";"Welzheim, Stadt";"31.12.2017";11133;3799;293
"GS";"08119085";"71364";"Winnenden, Stadt";"31.12.2017";28351;2805;1011
"GS";"08119086";"73650";"Winterbach";"31.12.2017";7626;1712;445
"GS";"08119087";"71546";"Aspach";"31.12.2017";8208;3545;232
"GS";"08119089";"73663";"Berglen";"31.12.2017";6317;2586;244
"GS";"08119090";"73630";"Remshalden";"31.12.2017";14077;1514;930
"GS";"08119091";"71384";"Weinstadt, Stadt";"31.12.2017";26884;3171;848
"GS";"08119093";"71394";"Kernen im Remstal";"31.12.2017";15312;1504;1018
"GS";"08121000";"74072";"Heilbronn, Stadt";"31.12.2017";125113;9989;1253
"GS";"08125001";"74232";"Abstatt";"31.12.2017";4779;966;495
"GS";"08125005";"74177";"Bad Friedrichshall, Stadt";"31.12.2017";19244;2471;779
"GS";"08125006";"74906";"Bad Rappenau, Stadt";"31.12.2017";21186;7356;288
"GS";"08125007";"74206";"Bad Wimpfen, Stadt";"31.12.2017";7064;1938;365
"GS";"08125008";"71717";"Beilstein, Stadt";"31.12.2017";6228;2524;247
"GS";"08125013";"74336";"Brackenheim, Stadt";"31.12.2017";16023;4575;350
"GS";"08125017";"74389";"Cleebronn";"31.12.2017";2991;1709;175
"GS";"08125021";"74246";"Eberstadt";"31.12.2017";3155;1250;252
"GS";"08125024";"74248";"Ellhofen";"31.12.2017";3717;586;634
"GS";"08125026";"75031";"Eppingen, Stadt";"31.12.2017";21522;8858;243
"GS";"08125027";"74235";"Erlenbach";"31.12.2017";5083;1273;399
"GS";"08125030";"74223";"Flein";"31.12.2017";7064;848;833
"GS";"08125034";"75050";"Gemmingen";"31.12.2017";5158;1908;270
"GS";"08125038";"74363";"Güglingen, Stadt";"31.12.2017";6290;1627;387
"GS";"08125039";"74831";"Gundelsheim, Stadt";"31.12.2017";7324;3844;191
"GS";"08125046";"74360";"Ilsfeld";"31.12.2017";9419;2651;355
"GS";"08125047";"74930";"Ittlingen";"31.12.2017";2514;1411;178
"GS";"08125048";"74249";"Jagsthausen";"31.12.2017";1851;1768;105
"GS";"08125049";"74912";"Kirchardt";"31.12.2017";5834;2150;271
"GS";"08125056";"74348";"Lauffen am Neckar, Stadt";"31.12.2017";11445;2263;506
"GS";"08125057";"74251";"Lehrensteinsfeld";"31.12.2017";2468;622;397
"GS";"08125058";"74211";"Leingarten";"31.12.2017";11606;2347;495
"GS";"08125059";"74245";"Löwenstein, Stadt";"31.12.2017";3356;2346;143
"GS";"08125061";"74252";"Massenbachhausen";"31.12.2017";3487;878;397
"GS";"08125063";"74219";"Möckmühl, Stadt";"31.12.2017";8089;4960;163
"GS";"08125065";"74172";"Neckarsulm, Stadt";"31.12.2017";26428;2494;1060
"GS";"08125066";"74382";"Neckarwestheim";"31.12.2017";3880;1398;278
"GS";"08125068";"74861";"Neudenau, Stadt";"31.12.2017";5247;3291;159
"GS";"08125069";"74196";"Neuenstadt am Kocher, Stadt";"31.12.2017";9918;4117;241
"GS";"08125074";"74226";"Nordheim";"31.12.2017";8193;1271;645
"GS";"08125078";"74229";"Oedheim";"31.12.2017";6414;2124;302
"GS";"08125079";"74254";"Offenau";"31.12.2017";2905;566;513
"GS";"08125081";"74397";"Pfaffenhofen";"31.12.2017";2401;1204;199
"GS";"08125084";"74255";"Roigheim";"31.12.2017";1421;1401;101
"GS";"08125086";"74193";"Schwaigern, Stadt";"31.12.2017";11396;4949;230
"GS";"08125087";"74936";"Siegelsbach";"31.12.2017";1668;768;217
"GS";"08125094";"74388";"Talheim";"31.12.2017";4960;1162;427
"GS";"08125096";"74257";"Untereisesheim";"31.12.2017";4124;367;1124
"GS";"08125098";"74199";"Untergruppenbach";"31.12.2017";8324;2727;305
"GS";"08125102";"74189";"Weinsberg, Stadt";"31.12.2017";12237;2222;551
"GS";"08125103";"74259";"Widdern, Stadt";"31.12.2017";1833;2523;73
"GS";"08125107";"71543";"Wüstenrot";"31.12.2017";6727;3002;224
"GS";"08125108";"74374";"Zaberfeld";"31.12.2017";4059;2218;183
"GS";"08125110";"74182";"Obersulm";"31.12.2017";13826;3108;445
"GS";"08125111";"74239";"Hardthausen am Kocher";"31.12.2017";4123;3556;116
"GS";"08125113";"74243";"Langenbrettach";"31.12.2017";3791;2397;158
"GS";"08126011";"74626";"Bretzfeld";"31.12.2017";12598;6468;195
"GS";"08126020";"74677";"Dörzbach";"31.12.2017";2444;3235;76
"GS";"08126028";"74670";"Forchtenberg, Stadt";"31.12.2017";5077;3809;133
"GS";"08126039";"74653";"Ingelfingen, Stadt";"31.12.2017";5498;4648;118
"GS";"08126045";"74238";"Krautheim, Stadt";"31.12.2017";4591;5290;87
"GS";"08126046";"74653";"Künzelsau, Stadt";"31.12.2017";15349;7517;204
"GS";"08126047";"74635";"Kupferzell";"31.12.2017";6087;5428;112
"GS";"08126056";"74673";"Mulfingen";"31.12.2017";3670;8009;46
"GS";"08126058";"74632";"Neuenstein, Stadt";"31.12.2017";6478;4784;135
"GS";"08126060";"74676";"Niedernhall, Stadt";"31.12.2017";4054;1771;229
"GS";"08126066";"74613";"Öhringen, Stadt";"31.12.2017";24010;6779;354
"GS";"08126069";"74629";"Pfedelbach";"31.12.2017";9143;4129;221
"GS";"08126072";"74214";"Schöntal";"31.12.2017";5608;8167;69
"GS";"08126085";"74638";"Waldenburg, Stadt";"31.12.2017";3087;3155;98
"GS";"08126086";"74679";"Weißbach";"31.12.2017";2029;1277;159
"GS";"08126094";"74639";"Zweiflingen";"31.12.2017";1669;3210;52
"GS";"08127008";"74572";"Blaufelden";"31.12.2017";5270;9017;58
"GS";"08127009";"74542";"Braunsbach";"31.12.2017";2471;5287;47
"GS";"08127012";"74424";"Bühlertann";"31.12.2017";3057;2359;130
"GS";"08127013";"74426";"Bühlerzell";"31.12.2017";2001;4930;41
"GS";"08127014";"74564";"Crailsheim, Stadt";"31.12.2017";34130;10908;313
"GS";"08127023";"74427";"Fichtenberg";"31.12.2017";2891;2419;119
"GS";"08127025";"74405";"Gaildorf, Stadt";"31.12.2017";12093;6259;193
"GS";"08127032";"74582";"Gerabronn, Stadt";"31.12.2017";4262;4038;106
"GS";"08127043";"74532";"Ilshofen, Stadt";"31.12.2017";6470;5487;118
"GS";"08127046";"74592";"Kirchberg an der Jagst, Stadt";"31.12.2017";4352;4093;106
"GS";"08127047";"74595";"Langenburg, Stadt";"31.12.2017";1834;3140;58
"GS";"08127052";"74535";"Mainhardt";"31.12.2017";5967;5870;102
"GS";"08127056";"74544";"Michelbach an der Bilz";"31.12.2017";3389;1768;192
"GS";"08127059";"74545";"Michelfeld";"31.12.2017";3788;3522;108
"GS";"08127062";"74420";"Oberrot";"31.12.2017";3613;3794;95
"GS";"08127063";"74423";"Obersontheim";"31.12.2017";4950;5484;90
"GS";"08127071";"74585";"Rot am See";"31.12.2017";5381;7480;72
"GS";"08127073";"74589";"Satteldorf";"31.12.2017";5502;4621;119
"GS";"08127075";"74575";"Schrozberg, Stadt";"31.12.2017";5727;10521;54
"GS";"08127076";"74523";"Schwäbisch Hall, Stadt";"31.12.2017";39818;10419;382
"GS";"08127079";"74429";"Sulzbach-Laufen";"31.12.2017";2503;4397;57
"GS";"08127086";"74547";"Untermünkheim";"31.12.2017";3023;2719;111
"GS";"08127089";"74541";"Vellberg, Stadt";"31.12.2017";4390;3189;138
"GS";"08127091";"74599";"Wallhausen";"31.12.2017";3666;2547;144
"GS";"08127099";"74549";"Wolpertshausen";"31.12.2017";2209;2742;81
"GS";"08127100";"74538";"Rosengarten";"31.12.2017";4994;3101;161
"GS";"08127101";"74594";"Kreßberg";"31.12.2017";3971;4846;82
"GS";"08127102";"74579";"Fichtenau";"31.12.2017";4538;3128;145
"GS";"08127103";"74586";"Frankenhardt";"31.12.2017";4821;6986;69
"GS";"08127104";"74597";"Stimpfach";"31.12.2017";3122;3335;94
"GS";"08128006";"97959";"Assamstadt";"31.12.2017";2262;1723;131
"GS";"08128007";"97980";"Bad Mergentheim, Stadt";"31.12.2017";23502;12996;181
"GS";"08128014";"97944";"Boxberg, Stadt";"31.12.2017";6623;10171;65
"GS";"08128020";"97993";"Creglingen, Stadt";"31.12.2017";4748;11723;41
"GS";"08128039";"97896";"Freudenberg, Stadt";"31.12.2017";3756;3476;108
